Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?,Could you tell me how many children aged 10 to 14 years old live in your household?
Options,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
Options,Participants/Percent,Man,Woman,15-24,25-34,35-44,45-54,55-64,65-74,75+,15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2,3,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,4107,4599,4794,4118,4141,2630,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491,5144,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
0,24536,11851,12685,3110,3813,3204,3700,4010,4098,2601,4398,10211,7352,2045,1803,2578,2873,4965,1239,1487,7545,2045,11952,2949,5338,1694,2320,8057,1296,8541,6361,5630,9367,4645,4894,1854,5846,16210,6228,3531,11446,2105,196,16324,8212,7119,10944,6445,17390,2444,3989,9026,1326,13628,555,2916,8586,6663,6371,3441,10699,4164,6232,9998,12887,13703,9791,6673,8568,4222,2977,11680,9764,20446,3864,9659,9906,4355
0,0.88,0.88,0.88,0.86,0.93,0.7,0.77,0.97,0.99,0.99,0.94,0.87,0.86,0.84,0.83,0.84,0.85,0.83,0.81,0.84,0.99,0.84,0.85,0.89,0.9,0.9,0.98,0.95,0.77,0.99,0.72,1,0.99,0.9,0.63,0.87,0.87,0.88,0.89,0.88,0.88,0.83,0.88,0.87,0.88,0.87,0.88,0.89,0.85,0.91,0.96,0.89,0.95,0.86,0.93,0.87,0.86,0.88,0.89,0.89,0.88,0.85,0.88,0.87,0.88,0.88,0.88,0.89,0.87,0.88,0.88,0.88,0.87,0.87,0.91,0.87,0.87,0.9
1,2780,1315,1466,451,233,1062,891,84,39,21,237,1247,895,344,309,357,395,819,230,226,100,344,1719,294,547,145,48,422,318,74,1939,0,124,475,2182,212,725,1767,656,379,1286,324,19,1848,933,860,1266,652,2462,195,107,897,65,1795,24,351,1091,733,605,359,1158,538,725,1133,1455,1510,1102,644,1017,452,332,1256,1178,2459,294,1146,1162,407
1,0.1,0.1,0.1,0.12,0.06,0.23,0.19,0.02,0.01,0.01,0.05,0.11,0.11,0.14,0.14,0.12,0.12,0.14,0.15,0.13,0.01,0.14,0.12,0.09,0.09,0.08,0.02,0.05,0.19,0.01,0.22,0,0.01,0.09,0.28,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.1,0.1,0.1,0.09,0.12,0.07,0.03,0.09,0.05,0.11,0.04,0.11,0.11,0.1,0.09,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.11,0.1,0.1,0.1,0.1,0.11,0.07,0.1,0.1,0.08
2,632,311,321,68,47,305,180,23,1,8,44,298,243,39,61,118,104,199,49,40,22,39,450,78,51,40,2,35,58,34,493,0,0,24,608,52,159,383,133,91,261,93,7,463,169,204,254,175,549,59,24,238,2,379,13,68,274,155,136,68,262,163,139,279,321,384,226,161,220,111,55,295,279,564,65,263,275,77
2,0.02,0.02,0.02,0.02,0.01,0.07,0.04,0.01,0,0,0.01,0.02,0.03,0.02,0.03,0.04,0.03,0.03,0.03,0.02,0,0.02,0.03,0.02,0.01,0.02,0,0,0.04,0,0.05,0,0,0.01,0.08,0.03,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.03,0.02,0.01,0.02,0,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02
3,57,33,25,3,11,20,20,0,2,0,11,21,22,3,6,2,7,14,6,15,4,3,44,8,3,2,0,3,2,1,51,0,0,0,57,5,20,31,15,9,22,6,0,42,15,21,23,13,43,5,9,12,6,34,5,5,22,17,14,4,27,13,13,28,23,33,20,17,18,13,3,30,24,49,8,26,20,8
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4+,26,15,11,9,2,8,3,1,2,0,4,11,5,5,3,1,1,8,4,1,2,5,10,3,9,2,1,11,1,1,12,0,0,0,26,1,11,12,17,0,7,1,0,15,10,4,18,3,20,1,3,11,0,14,0,3,9,7,6,3,7,6,10,6,19,12,12,16,5,1,4,9,13,23,2,12,12,1
4+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Average,0.2,0.2,0.2,0.2,0.1,0.4,0.3,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.1,0.1,0.1,0,0.1,0.3,0,0.4,0,0,0.1,0.5,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1
